CCT3,TOP2A,RRM2,PTTG1,LCAT,VIPR1,ESR1,FCN3,CYP2B6,NAT2,APOF,CYP1A2,FCN2,FOS,GPC3,ECM1,MT1F,CCNB1,CXCL14,PRC1,ASPM,STAB2,HAMP,Class
10.016,8.418,8.34,8.899,4.813,3.613,3.463,5.2,4.082,3.676,3.751,4.862,3.243,5.456,11.94,4.693,8.365,7.009,3.19,6.941,6.467,3.31,4.254,Cancer
9.951,5.372,6.572,6.436,5.685,3.456,6.691,5.477,6.069,6.107,3.618,8.323,3.095,8.903,11.288,4.211,9.742,4.568,2.894,5.245,6.982,3.798,5.097,Cancer
6.904,3.822,6.366,4.798,7.708,4.93,6.968,9.693,8.401,8.791,9.335,11.64,5.666,9.518,4.338,6.218,11.854,3.673,6.737,3.796,3.399,4.952,12.178,Normal
8.089,3.363,4.296,4.715,8.48,7.891,7.686,10.257,8.045,9.498,10.03,12.03,7.436,10.054,4.029,7.936,11.847,3.407,7.247,3.618,3.524,6.36,13.003,Normal
8.06,4.274,4.54,4.725,8.644,7.761,7.664,9.77,8.091,9.908,9.327,11.66,6.669,11.283,4.407,8.156,11.702,3.779,5.384,4.007,3.852,5.829,12.354,Normal
8.424,3.529,4.387,5.225,8.842,7.158,7.619,8.76,8.342,9.444,8.738,11.688,5.494,10.327,4.455,8.244,11.997,3.661,6.707,4.25,3.82,5.986,11.988,Normal
8.185,3.549,4.361,4.754,8.773,7.252,8.059,10.296,8.999,9.644,8.934,11.519,7.699,8.784,4.352,8.206,11.711,3.404,6.637,3.628,4.015,5.971,11.789,Normal
6.851,4.063,5.617,4.988,8.596,5.472,6.9,8.751,7.956,6.301,8.45,11.532,5.736,9.465,4.324,7.66,11.723,3.463,4.668,4.092,3.62,4.966,12.508,Normal
8.059,3.729,4.415,4.946,9.198,6.521,7.81,9.651,8.22,10.129,9.8,11.598,7.431,10.413,4.489,8.014,11.475,3.236,6.428,3.811,3.848,4.714,11.841,Normal
8.194,3.789,4.039,4.566,8.794,7.477,8.292,8.339,9.049,9.783,9.372,12.302,6.639,11.79,4.579,8.488,11.4,3.372,7.38,3.38,3.829,6.483,12.244,Normal
7.961,3.814,4.479,4.293,8.584,7.082,7.723,7.495,9.57,8.907,8.391,10.037,6.313,10.077,4.264,8.419,10.085,3.325,6.913,3.458,3.445,6.545,12.768,Normal
8.516,4.382,4.361,5.578,8.236,7.018,7.112,9.561,7.711,9.433,9.119,11.329,7.905,10.116,7.578,8.185,11.342,3.617,6.217,3.534,3.841,6.268,12.511,Normal
7.949,3.486,3.853,5.14,8.445,7.356,7.658,10.221,9.371,8.797,9.203,11.929,6.004,9.26,4.731,8.185,10.846,3.401,7.663,3.919,3.52,6.755,11.847,Normal
10.931,7.699,6.414,8.395,3.817,3.704,3.865,5.31,3.376,4.498,4.002,4.205,3.194,5.879,10.779,4.886,5.843,7.031,3.199,6.456,6.939,3.462,7.587,Cancer
10.255,8.387,8.232,9.205,4.212,3.29,3.748,5.867,3.582,4.065,3.855,4.698,3.288,7.805,10.089,4.413,4.985,7.62,3.203,8.036,6.932,3.618,5.439,Cancer
9.509,5.664,6.494,7.418,5.447,3.653,3.736,5.305,4.996,4.382,4.732,5.485,3.3,4.23,10.767,4.68,4.858,5.903,3.035,6.082,5.172,3.661,3.863,Cancer
9.529,7.823,7.593,8.958,6.017,3.995,5.104,5.272,6.023,4.045,7.874,4.598,3.028,5.775,10.972,5.078,6.594,7.143,3.164,7.363,7.792,3.397,4.563,Cancer
