'ATP1B1','CDCA4','CLIC4','CNDP2','CRYZ','GATA3','GLRX','HOMER2','HSD17B11','IGFBP3','MTA1','PAX8','PROS1','SCYL3','SFN','SGCB','SLC37A4','SPDEF','SPP1','TFAP2A','TNIP1','USP7','XBP1','ZNF395','GAPDH',Class
69.56,3.679,78.733,70.745,19.126,113.78,18.986,12.478,18.132,62.202,18.437,0.07148,16.504,7.4374,7.7897,12.247,6.2454,95.53,73.34,49.64,41.356,31.695,1052.2,17.855,773.51,BRCA
136.68,5.3763,76.999,98.017,12.032,171.22,7.7914,8.2145,11.474,49.163,12.91,0.070031,8.3848,4.344,17.026,8.4463,13.521,94.811,20.773,19.688,33.244,24.804,1236.7,12.388,1321.6,BRCA
78.476,5.9182,46.594,103.08,7.2115,103.03,12.941,7.4133,15.163,15.928,16.707,0.21729,4.465,7.6601,7.8291,2.9838,18.752,126.44,74.487,57.408,32.559,31.324,1409.7,12.189,754.06,BRCA
22.656,6.9053,54.354,100.2,8.2809,35.927,24.904,2.6435,12.926,68.208,14.892,1.0719,3.8954,4.385,12.352,6.8752,8.05,13.408,70.473,21.275,63.471,21.29,264.64,11.924,1429.8,BRCA
61.148,9.6632,106.87,77.26,31.585,364.94,8.6826,25.321,9.7233,39.652,17.906,1.2809,6.8965,7.1732,19.363,18.577,11.474,81.602,17.904,42.717,37.899,56.962,1051.8,21.554,1342.6,BRCA
13.23,7.2065,62.057,103.09,8.1082,172.11,39.694,3.1788,8.3989,11.382,11.472,1.8339,3.0252,6.4566,27.405,6.1975,16.697,87.634,639.83,12.702,34.804,25.13,610.86,10.257,2822.5,BRCA
88.427,9.4988,72.36,71.942,11.219,45.283,21.175,5.0107,7.3789,30.214,10.583,0.20932,2.5175,6.6149,34.318,4.0641,14.876,78.397,33.078,19.46,31.975,28.737,354.1,7.9054,822.12,BRCA
52.368,19.072,129.37,58.979,7.7223,10.807,10.432,3.4279,11.815,29.155,19.586,0.23261,3.9688,9.153,38.595,8.2895,5.7238,1.8535,558.42,22.739,56.192,17.9,117.34,9.6661,1089.4,BRCA
169.37,6.5501,58.773,64.477,12.956,176.66,12.634,11.528,19.763,45.549,22.568,0.0414,7.7062,6.6785,9.5735,6.8829,6.5685,124.51,46.828,27.548,55.269,25.071,1924.4,19.441,1509.2,BRCA
53.418,25.298,66.373,92.368,11.58,63.138,24.158,11.23,5.1445,65.196,40.255,0.042027,2.2484,5.5367,38.616,13.468,14.048,36.798,536.12,39.547,36.042,36.187,407.03,12.235,2975.5,BRCA
55.707,6.6459,61.717,100.83,6.5707,36.325,18.085,6.1469,9.5943,62.45,18.06,0.10897,5.4097,6.7783,17.647,5.776,8.6751,89.241,53.439,16.832,37.709,24.587,404.15,3.4303,1218,BRCA
73.868,7.4774,78.385,90.322,14.154,45.759,17.163,13.088,3.6601,175.84,18.892,0.089281,3.0767,5.8899,138.8,4.3319,8.9016,23.633,231.95,24.117,27.013,32.156,65.14,18.127,2528.5,BRCA
63.806,13.376,54.231,62.803,21.621,138.78,4.2548,6.3662,11.281,27.27,23.131,0.42864,6.9064,6.842,15.018,16.288,5.9992,76.545,29.415,30.724,24.454,53.306,1908.8,7.6008,765.06,BRCA
148.58,7.5125,69.095,53.688,12.998,209.17,17.554,12.521,14.396,31.622,15.307,0.41386,8.94,6.6632,18.712,15.005,6.4724,57.696,66.414,20.784,37.813,27.552,1033.2,13.292,1513.5,BRCA
346.95,8.98,69.881,200.38,21.763,205.4,12.957,23.121,6.2686,49.925,27.067,0.2327,7.7543,10.165,43.053,9.5269,14.966,72.221,17.694,47.702,41.987,40.694,1398.7,21.415,1802.3,BRCA
162.37,3.9001,110.83,73.82,15.307,189.06,9.3883,5.8266,13.346,58.081,18.435,0.66884,9.1976,9.0165,4.5228,9.9537,7.3206,73.087,186.62,37.752,39.678,26.934,337.79,26.664,1093,BRCA
43.794,10.402,88.726,63.115,15.705,139.59,8.5082,6.6669,8.6635,41.896,19.184,0.3646,10.381,9.7017,17.811,9.7252,10.754,95.474,126.58,27.747,36.338,39.595,446.15,14.916,885.62,BRCA
95.323,6.5034,55.16,63.588,12.108,181.72,18.984,5.6762,6.4618,59.172,24.063,1.3709,3.9276,9.3722,13.198,4.0433,5.7026,60.764,119.61,32.233,38.028,48.374,2395.2,16.087,1016.1,BRCA
139.27,7.0323,103.57,73.849,12.868,178.33,11.956,3.0912,12.746,52.594,21.329,0.054654,9.1885,13.514,14.728,13.646,8.439,40.753,70.853,15.894,46.582,31.777,763.46,16.159,1238.8,BRCA
38.44,12.882,111.57,25.624,10.76,3.6207,4.7,86.347,1.7495,34.948,41.842,1.7652,16.161,4.7492,7.0855,9.5286,11.652,1.1743,50.29,13.461,30.252,49.474,91.49,9.5114,3220.5,BRCA
33.322,7.3323,45.953,95.836,19.524,188.91,29.059,10.933,12.205,21.043,17.678,2.6629,5.2873,11.642,6.0367,4.7868,7.4894,99.388,202.78,76.757,32.961,60.582,1568.7,17.539,551.74,BRCA
205.03,10.15,80.157,69.393,9.9491,100.91,11.892,5.4602,3.9672,14.646,16.404,0.66829,3.6693,12.469,5.5564,4.5624,10.974,77.76,22.119,41.557,29.857,42.326,671.09,11.568,1297.8,BRCA
44.371,6.0446,77.411,80.787,12.273,135.36,15.69,10.725,12.916,108.81,19.93,0.73643,2.8626,7.1972,8.8329,8.1572,18.178,65.614,216.51,35.601,24.02,53.666,1076.4,7.0821,1888.3,BRCA
36.772,4.2822,49.541,49.515,38.775,172.39,29.122,9.1876,12.274,23.229,12.992,2.1984,6.8519,7.0918,4.8113,3.9589,3.8394,50.512,127.38,18.181,31.653,26.932,1512.3,17.385,644.58,BRCA
33.651,8.0121,132.72,107.51,9.5133,0.5723,6.6795,4.8439,1.8437,58.045,9.2261,1.615,3.202,4.0075,19.914,12.582,10.995,3.0718,220.79,34.316,16.251,32.665,60.832,14.326,1643,BRCA
86.517,4.0081,99.711,45.473,13.918,89.805,21.343,6.6458,20.047,52.867,18.174,0.47376,20.677,10.489,8.404,12.013,6.3546,50.991,17.944,23.641,34.79,31.965,801.34,17.754,677.21,BRCA
101.79,8.4483,80.753,54.339,17.695,166.29,17.33,17.786,16.103,52.355,24.371,0.055038,14.046,9.5773,17.43,9.2846,13.404,49.962,7.0425,33.081,36.846,26.982,760.75,24.452,1517.3,BRCA
49.684,25.33,160.93,95.001,17.084,5.3389,9.9561,4.8179,4.6905,186.1,39.217,0.12767,6.0492,4.6859,62.465,13.185,10.994,0.53756,261.16,49.967,57.399,32.431,65.893,11.761,2667,BRCA
28.993,7.0794,88.286,61.893,16.591,124.9,6.2736,9.4714,5.2547,27.184,13.996,0.56107,6.0187,11.342,11.304,8.9382,11.464,150.48,20.605,26.128,25.833,56.651,875.85,7.9466,1532.4,BRCA
258.33,1.0826,90.539,39.057,19.927,318.77,4.1788,9.7759,9.0108,40.698,9.2605,0.14986,7.1958,14.218,2.4701,31.411,4.3515,33.435,5.2196,61.401,9.8973,32.332,2161.4,9.2664,491.5,BRCA
