IGSF10,GRK5,SPOCK2.1,FABP4,COL11A1,GRK5.3,EFNA4,SH3GL3.1,COL10A1,CA4,CA4.1,CST1,SGCG,GPM6A,GPM6A.1,SPP1.1,TNNC1,AGER,CLIC5,KANK3,SPTBN1.5,AGER.1,COL10A1.1,GOLM1.1,QKI.7,CCBE1,FRMD3,PCAT19,RTKN2,STXBP6.3,CCM2L.1,MASP1.3,CCDC85A.1,NCKAP5,SERTM1,COL11A1.2,Class
5.33052,7.20696,9.63909,9.3247,6.46956,9.13368,7.52407,6.50239,8.28441,7.54066,6.58562,5.23645,5.95527,5.0473,5.41274,10.9587,7.6432,10.4944,9.73415,7.56453,6.51008,8.7565,5.17591,9.58642,7.15148,7.35853,5.90023,7.47184,5.07943,4.78786,7.4712,6.10587,4.678,3.6949,3.74427,4.96347,Cancer
5.91349,5.41342,7.28308,5.75768,10.3213,6.62574,8.10555,5.87914,11.4604,7.14471,5.50085,10.5494,5.05596,4.37143,4.06102,13.7119,5.62735,5.87404,5.37325,6.4567,5.73979,6.37186,10.5918,10.641,6.69022,5.32262,5.36,6.69418,3.77271,3.63349,6.98957,6.24218,4.35352,3.34423,3.79975,11.0346,Cancer
4.32261,6.48526,8.43532,4.74275,9.46982,5.98307,8.34385,5.71945,7.58871,6.95508,5.37859,8.26609,6.30596,4.26566,4.13842,11.8809,4.90947,6.76203,3.92456,5.84763,5.99536,6.18521,4.34744,9.74993,6.71168,7.10363,6.31043,6.92571,3.76722,3.40322,6.74666,5.95145,4.70635,4.65587,4.27871,8.83813,Cancer
4.14655,6.14832,8.93033,5.87934,10.8548,7.9731,8.26083,5.89303,10.4249,7.09059,4.66013,6.80546,5.50979,4.08204,3.8724,13.7637,4.59226,6.08672,6.70617,6.75005,6.07174,5.75174,9.34873,10.5151,7.0805,6.5984,6.75435,7.07431,3.49786,3.88378,6.56372,5.91847,4.8489,3.59858,4.00856,11.4369,Cancer
4.34434,5.70346,7.77432,6.82998,6.95796,7.86358,8.035,6.18805,7.80105,7.04026,5.43059,4.56778,5.42946,4.43078,4.11174,13.7812,5.05316,5.90526,5.92768,6.31937,5.64197,6.37321,6.07346,10.4185,6.97394,6.27328,5.6891,7.00856,3.839,4.12555,7.07823,6.00383,4.47183,3.60178,4.13781,7.52045,Cancer
6.46355,5.63569,8.98987,7.15715,4.96659,8.20408,7.98805,5.61496,10.7992,6.58416,5.62204,9.65014,5.1975,4.90803,5.38164,13.0846,7.59579,5.93991,10.0008,6.75499,6.8275,6.09908,10.267,9.89357,7.26138,7.56471,6.36403,6.93769,3.80997,5.27619,6.69187,6.23412,4.04746,4.19121,3.75932,4.83605,Cancer
5.64962,6.08111,8.05213,8.22408,10.466,7.71289,8.72355,5.94275,12.0215,6.48237,4.75517,9.1734,5.74352,5.19057,4.7644,14.1993,6.11739,6.29827,7.68467,6.7657,4.74637,6.19503,10.6886,10.1875,6.8685,6.32753,5.92878,7.15988,3.93236,4.02088,7.02828,5.77237,5.25137,3.48173,3.78971,11.0038,Cancer
4.87048,6.26759,7.97895,9.31489,6.75474,7.87702,8.45674,5.67803,11.8686,7.09407,4.91694,8.64451,6.10319,5.50561,5.83752,13.9494,6.88553,6.57818,7.80668,6.84429,6.05828,5.89689,10.9981,10.7463,7.00531,7.21475,6.35851,6.96726,3.78158,4.05884,6.42623,6.38913,4.2383,3.54943,3.80141,7.20023,Cancer
5.00061,5.39748,7.12482,6.74943,9.41308,6.72683,8.96786,5.67726,10.852,6.56211,5.28701,8.71264,4.81526,4.34121,4.0555,12.6171,5.54345,7.60383,6.99492,6.14032,5.56726,7.0588,9.88365,11.0375,5.96887,5.50754,5.4076,6.84627,3.52931,4.23777,6.31169,6.12125,4.17951,3.4993,3.80164,10.1496,Cancer
6.80332,6.70359,9.91528,11.4267,10.5473,9.84846,9.21877,6.30456,11.8057,8.41769,8.55002,8.08938,5.4336,8.08656,8.75992,13.073,8.44755,11.4947,10.0168,7.64107,7.58746,9.50402,10.4812,9.3453,7.45594,7.37468,7.14609,8.17144,5.09419,8.12558,7.48676,6.78264,6.76167,5.72457,4.37581,11.1407,Cancer
7.18534,6.43493,8.98481,10.9273,9.81667,9.03626,7.18612,5.99809,11.0548,7.66431,7.29837,4.52618,5.83622,7.84337,8.43909,13.2635,6.49,9.32617,9.21456,7.86598,7.00242,7.9014,10.4097,8.65283,7.55153,8.01167,6.36158,7.95812,5.58156,7.45624,8.01722,6.33977,6.31949,5.26528,4.27241,10.6304,Cancer
8.93713,6.79001,10.2799,11.3966,4.12667,10.119,7.5162,7.64873,6.22913,9.5289,10.0019,4.93271,8.28332,9.21479,9.96153,9.281,9.87327,11.9958,11.1963,8.34039,8.15783,10.1222,4.4232,8.03122,7.55106,9.38906,7.89707,9.46145,7.63749,9.3345,8.62497,6.93252,7.56533,6.68371,6.43844,3.74885,Cancer
6.3329,5.9892,8.46441,9.46117,5.00831,8.75951,8.37776,6.42978,9.42498,7.29461,7.10526,7.4174,5.75758,6.88205,7.4203,11.56,8.54678,10.482,10.866,6.72696,6.31709,8.39713,8.31853,9.75641,6.84711,7.93098,6.31158,7.6236,4.79825,6.79942,7.25169,6.23897,5.60219,4.2389,3.97712,4.45082,Cancer
6.12136,6.13995,9.87703,10.6339,7.60483,8.87486,6.97305,6.14268,8.27699,6.87065,6.21846,5.0598,5.23468,6.26551,6.68728,11.9021,6.13254,9.32332,8.36796,7.14112,6.5142,7.38478,6.52167,9.65941,6.8708,6.7403,6.30156,7.62699,4.41825,6.91002,7.42573,6.53556,5.38056,4.47673,4.12127,8.15485,Cancer
